model,config_id,params,fold,n_train,n_val,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_3,recall_class_3,f1_class_3,support_class_3
XGBoost,1,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",2,6148,1503,3.3036120999604464,0.028692099964246154,0.9680638722554891,0.8715180393846964,0.8998400288296363,0.8715180393846964,0.878976760410017,0.9671003854274134,0.8988590293254582,0.9975629569455727,0.9991863303498779,0.9983739837398374,1229,0.8054054054054054,0.9371069182389937,0.8662790697674418,159,0.896551724137931,0.6782608695652174,0.7722772277227723,115
XGBoost,1,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",3,6146,1505,2.8843077999772504,0.027644400019198656,0.9727574750830564,0.8994679509516726,0.9185811459381449,0.8994679509516726,0.9045710140671089,0.9723778513132179,0.9145893741903925,0.9975530179445351,0.9951179820992677,0.9963340122199593,1229,0.8368421052631579,0.9578313253012049,0.8932584269662921,166,0.9213483146067416,0.7454545454545455,0.8241206030150754,110
XGBoost,1,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",4,6095,1556,3.722417499986477,0.030559999984689057,0.967866323907455,0.8958748736773154,0.9338702679743024,0.8958748736773154,0.912532857077379,0.9674806931889843,0.896314747343262,0.9836575875486381,0.9937106918238994,0.9886585842784513,1272,0.847953216374269,0.8787878787878788,0.8630952380952381,165,0.97,0.8151260504201681,0.8858447488584474,119
XGBoost,1,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",5,6100,1551,3.4679636999499053,0.031495300005190074,0.9761444229529336,0.918701930394764,0.9470864640627005,0.918701930394764,0.9306232866685518,0.9757795819910254,0.9249563531445838,0.9897476340694006,0.9944532488114105,0.9920948616600791,1262,0.8936170212765957,0.9491525423728814,0.9205479452054794,177,0.9578947368421052,0.8125,0.8792270531400966,112
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",1,6115,1536,10.711977099999785,0.009543400024995208,0.9752604166666666,0.9303942254380418,0.9182598590493328,0.9303942254380418,0.924236238659657,0.9754806678652561,0.9223980411236458,0.9967948717948718,0.9912350597609562,0.9940071913703555,1255,0.8947368421052632,0.9216867469879518,0.9080118694362018,166,0.8632478632478633,0.8782608695652174,0.8706896551724138,115
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",2,6148,1503,10.00217039999552,0.009267200017347932,0.9687292082501663,0.8752187047752714,0.8998795530070915,0.8752187047752714,0.8822989930779074,0.9679143838224575,0.9008093552251024,0.9975629569455727,0.9991863303498779,0.9983739837398374,1229,0.8131868131868132,0.9308176100628931,0.8680351906158358,159,0.8888888888888888,0.6956521739130435,0.7804878048780488,115
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",3,6146,1505,9.202398899942636,0.010155600029975176,0.9740863787375416,0.9037917481004719,0.918278290910202,0.9037917481004719,0.908204592730408,0.9737398796524412,0.9184554647427432,0.9975550122249389,0.9959316517493898,0.996742671009772,1229,0.8540540540540541,0.9518072289156626,0.9002849002849003,166,0.9032258064516129,0.7636363636363637,0.8275862068965517,110
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",4,6095,1556,9.185768699971959,0.00949710002169013,0.9710796915167095,0.900701441239732,0.9429879488703018,0.900701441239732,0.9192502519970924,0.9706158891561509,0.9065743616871726,0.9844599844599845,0.9960691823899371,0.9902305588120359,1272,0.8647058823529412,0.8909090909090909,0.8776119402985074,165,0.9797979797979798,0.8151260504201681,0.8899082568807339,119
CatBoost,0,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': None}",5,6100,1551,9.541069499915466,0.009161800029687583,0.9832366215344939,0.9384058851543876,0.9577142234259136,0.9384058851543876,0.9471677832912859,0.9830014745381864,0.9472888046682547,0.9936858721389108,0.9976228209191759,0.9956504547251879,1262,0.9289617486338798,0.96045197740113,0.9444444444444444,177,0.9504950495049505,0.8571428571428571,0.9014084507042254,112
CatBoost,1,"{'iterations': 300, 'depth': 6, 'learning_rate': 0.1, 'auto_class_weights': 'Balanced'}",1,6115,1536,11.919039099942893,0.014737099991180003,0.96484375,0.9244021295645078,0.8872211976395566,0.9244021295645078,0.9048027536573322,0.965812491356346,0.8933283604042623,0.9983753046303818,0.9792828685258964,0.9887369267900241,1255,0.8216216216216217,0.9156626506024096,0.8660968660968661,166,0.8416666666666667,0.8782608695652174,0.8595744680851064,115
